filename,genre,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
blues.00000.wav,blues,-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339379,-12.283617,10.973775,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.75029784,-1.6883581,-0.40932855,-2.2988694,1.2199471
blues.00001.wav,blues,-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.2378328,4.217125,-6.0110474,0.93266803,-0.7170278,0.2923333,-0.28571686,0.5321443
blues.00002.wav,blues,-90.776344,140.44861,-29.10056,31.68734,-13.975973,25.741686,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857637,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164971,-3.4343538,-2.2313912
blues.00003.wav,blues,-199.462,150.09474,5.649167,26.870144,1.7554405,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760562,0.7769089,-3.3200555,0.6372629,-0.6175069,-3.40694
blues.00004.wav,blues,-160.29185,126.19576,-35.6025,22.151167,-32.48764,10.862023,-23.357162,0.50052327,-11.80477,1.2038777,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.408076,-11.701833
blues.00005.wav,blues,-177.88876,118.18953,-17.550728,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.5685406,-1.8399693,-2.7841752,-3.046112,-8.115228
blues.00006.wav,blues,-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716,-9.947578,-6.540925,-10.071382,-10.912119,-6.970003,-3.4485128,-6.4984574
blues.00007.wav,blues,-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956976,-3.5483484,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816
blues.00008.wav,blues,-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739909,5.064209,-5.173075,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909
blues.00009.wav,blues,-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368738,-5.114481,-0.4145367,-1.1848986,-1.9183391,-2.2957964,2.89123,-4.2345333
blues.00010.wav,blues,-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.214374,-12.582618,5.8545594,-2.8846726,-1.186681,-1.9771539,1.8001548,-3.0044115,-1.8699358,-0.79626834,-3.0132642,-0.43592536,-2.00181,-0.74663854,-5.001238
blues.00011.wav,blues,-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.6532755,0.7827978,6.5667357,-4.87944,-3.1806588,-5.557003,-6.786621,-2.644233,-2.9824317,-3.3811383,-1.8614974,1.8359205,-4.8965116
blues.00012.wav,blues,-207.20874,132.79709,-15.460706,60.99486,0.71024126,12.461279,1.1609277,-1.5278946,-17.901815,8.369234,-2.4538186,-0.5966887,0.36881652,2.6052277,-5.1930146,-9.530149,-9.2374,-2.8406756,-1.4114445,-5.9310284
blues.00013.wav,blues,-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.010078,6.735786,-21.54862,10.728498,-5.532432,-2.202038,-3.051727,8.64402,-0.31084567,-0.63614476,-2.935938,-1.706597,-1.7654226,-7.755964
blues.00014.wav,blues,-305.69858,113.04164,12.114901,45.039444,17.739239,14.59463,4.1571283,0.24009794,-7.013088,13.649843,8.923058,1.30169,5.952128,8.542283,1.1171257,0.5882187,0.06007749,-3.706519,-1.0018839,-1.8044139
blues.00015.wav,blues,-238.53304,120.08829,-4.2245555,42.310043,5.9163294,13.914182,5.3575773,1.9037086,-16.92988,12.339311,3.9409604,-1.3906769,0.0147920735,3.5804954,-4.5049934,-5.541951,-6.883077,-4.82639,1.7385828,-1.8840166
blues.00016.wav,blues,-233.79489,120.66705,-3.1675608,39.53927,3.858855,18.839672,-3.6889172,4.431845,-14.975374,17.571033,1.8447447,2.5386066,-1.2386856,8.439363,-0.20983858,-3.9067852,-4.478641,-0.012232258,1.2932649,-2.0874293
blues.00017.wav,blues,-245.75414,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.5361875,-16.367361,6.6298547,7.269149,-4.015731,1.6074535,5.898682,-3.017608,-4.7748995,-3.02707,-1.9985329,-0.058759082,-3.9718897
blues.00018.wav,blues,-252.51877,104.93699,15.316828,42.673473,6.7626176,21.623575,-1.3132769,5.691933,-16.619516,12.161626,-1.96795,1.969765,-0.88895845,7.771046,2.3869514,1.7799876,1.3449868,3.6371133,4.9108076,-2.6554039
blues.00019.wav,blues,-236.6889,138.40428,-4.923575,47.647713,5.152376,8.895284,0.4828563,-3.801668,-14.974891,10.432587,-0.35396135,0.7883455,1.7829303,4.230211,-0.47101694,-6.1056542,-5.387077,-1.3430606,-3.7227933,-4.3624997
blues.00020.wav,blues,-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.639429,8.25213,-18.104385,13.842513,-3.760913,2.5718598,-4.3208055,6.8123913,-6.159839,-6.2154546,-4.5115924,-1.8506044,-0.5394865,1.504397
blues.00021.wav,blues,-264.67847,138.85834,11.156023,48.538254,14.895924,20.584368,3.2051423,1.2625881,-15.847021,15.986576,3.3616717,-1.5137409,1.892155,6.3119216,-0.9948621,-2.4167244,-3.6847513,0.49939734,5.050747,-0.78670317
blues.00022.wav,blues,-233.85751,136.17209,3.2713182,48.931213,8.685134,13.97951,5.3548675,0.39087018,-13.504575,16.856106,5.130938,-2.2318802,3.9640331,5.3183618,0.8122657,-1.0979141,-4.539752,-2.434786,3.3134494,-0.61427957
blues.00023.wav,blues,-227.26886,137.7307,-14.493466,63.555702,5.612641,11.98464,1.885552,-1.8633766,-7.6205554,-2.4471743,-2.886725,-9.429529,-10.923913,3.562558,4.1377063,0.095543854,-2.972545,-1.378875,7.541176,-3.0374627
blues.00024.wav,blues,-274.31186,130.41371,-6.3927994,70.405014,13.269141,9.461284,7.7256403,-1.247491,-0.5775883,-2.3025885,3.783147,0.084823325,-0.93943614,2.2965147,4.2883782,-1.6618618,-10.444595,-6.7975335,-1.066052,-1.5959947
blues.00025.wav,blues,-249.2894,130.98703,0.6773904,66.68578,17.897806,4.6237364,6.5983076,1.24905,1.4163896,-1.5791419,-0.9626631,-3.5719957,-2.9279811,4.596818,7.478901,-0.18313679,-2.8253267,-2.6788447,0.7485471,-0.5342602
blues.00026.wav,blues,-284.69736,108.8052,9.088283,51.22274,18.091757,7.612261,8.779499,2.362829,0.0057863407,2.250966,4.2050996,-3.2933176,1.6082983,2.6657817,3.3244853,3.260079,-4.558311,0.47801903,5.929787,3.2283401
blues.00027.wav,blues,-228.25066,130.3444,-23.29129,70.1721,1.1422709,7.6024475,0.90993816,1.9782512,-6.167008,-9.396024,-2.5628405,-4.5228944,-0.26295027,0.17933396,-1.5074475,1.4652517,-6.9718475,-8.32218,4.2389526,0.98148614
blues.00028.wav,blues,-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.543976,0.3312791,-7.87795,-3.4479153,-2.646489,-2.8313823,-0.9021665,-2.4017205,2.5675032,-5.855444,-12.398048,-7.3100653,-0.94395065,-2.6873753
blues.00029.wav,blues,-233.75082,101.178276,17.649767,23.733776,2.0820332,25.941923,-16.958849,15.098034,-22.278715,4.3951225,-23.207403,-6.057175,-5.068857,1.0673922,-5.785367,-8.311131,-11.389136,-6.72795,-10.025585,-14.032895
blues.00030.wav,blues,-206.96808,117.792984,23.23588,28.297827,-1.1239153,18.862036,-21.949682,17.849985,-25.585644,2.1299253,-17.794416,-8.015903,-17.607279,-8.139437,-8.648127,-15.528326,-15.317337,-9.66383,-10.0986805,-17.833735
